id	Path	Artist	Title	Material	Dimensions	Signature/Inscriptions	Provenance	Source	Accession Number(s)	Name	Description	Artist Sort	Keywords	Height	Width	Foreground R	Foreground B	Foreground G	H	S	V	x	y
WA1850.12	WA1850.12.jpg	Davide Ghirlandaio (1452 - 1512)	Sts Nicholas of Bari and Dominic	oil and gilding on panel	69 x 31 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.12	Lloyd, 1977, pp. 109-11; Cadogan 2000, pp. 322-3	A companion piece showing <i>The Crucifixion with St Thomas Aquinas and St Augustine</i>was formerly with Colnaghi, London. Dating from the mid-1480s, the two panels could have formed the wings of a small altar-piece, or part of the lower register of a larger one. St Dominic has a double crown, a reference to his status as a doctor of the Church and a virgin saint. The artist formerly known as the Master of the St Louis Altar-piece has been convincingly identified as Davide Ghirlandaio, who collaborated with his brother, Domenico.	Ghirlandaio, Davide 1452 - 1512	people, adult, one, portrait, art, wear, two, group, leader, religion, man, woman, veil, administration, print, three, engraving, elderly, gown, coat	69.0	31	172.0	172.0	172.0	0.0	0.0	0.67	11.00127331174002	2.2866837554822497
WA1850.13.1	WA1850.13.1.jpg	Francesco Granacci (1469/70 - 1543)	An Angel	oil on panel, transferred to canvas	33 x 14 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.13.1	Lloyd 1977, pp. 87-9	Together with a <i>St Francis</i>(Christ Church, Oxford) and a <i>Risen Christ</i>(National Gallery of Wales), A100 and A101 come from a lost altar-piece by Granacci, painted around 1520. The four panels may have been placed in the pilasters. Granacci was a follower of Ghirlandaio who was particularly interested in the art of Fra Bartolomeo and Raphael.	Granacci, Francesco 1469/70 - 1543	religion, art, saint, ancient, old, church, painting, god, holy, fresco, spirituality, religious, antique, historic, sculpture, sacred, Gothic, wall, culture, belief	33.0	14	157.0	136.0	101.0	37.0	0.36	0.62	3.8636717504320393	7.752020170730398
WA1850.13	WA1850.13.jpg	Francesco Granacci (1469/70 - 1543)	St Anthony of Padua	oil on panel, transferred to canvas	33 x 14 cm			Presented by Hon. W.T.H. Fox-Strangways, 1850	WA1850.13	Lloyd 1977, pp. 87-9	A Franciscan saint, Anthony (1195-1231) carries his attributes of a book, recalling his erudition, and a flaming heart, a reference to his spiritual fervour. Together with a <i>St Francis</i>(Christ Church, Oxford) and a <i>Risen Christ</i>(National Gallery of Wales), A100 and A101 come from a lost altar-piece by Granacci, painted around 1520. The four panels may have been placed in the pilasters. Granacci was a follower of Ghirlandaio who was particularly interested in the art of Fra Bartolomeo and Raphael.	Granacci, Francesco 1469/70 - 1543	religion, art, sculpture, church, god, architecture, statue, spirituality, painting, old, sacred, saint, ancient, temple, holy, worship, people, one, monastery, no person	33.0	14	156.0	141.0	101.0	43.0	0.35	0.61	3.7492149356879017	7.796036633341621
WA1850.14	WA1850.14.jpg	Agnolo di Domenico di Donnino (1466 - c.1513)	Sts Bartholomew and Julian the Hospitaler	tempera (and oil?) and gold on panel	77.9 x 64 cm	Inscribed: <em>BARTOLOMUS.APLUS.SCS.JULIANUS</em>		Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.14	Lloyd 1977, pp. 112-3; Fahy 1993	A99 belongs to a lost altar-piece of which two other fragments are known showing <i>The Virgin and Child</i>and <i>Sts Leonard and James the Great</i>. The apostle Bartholomew is usually depicted with a knife, the instrument of his martyrdom. St Julian, a nobleman who accidentally murdered his parents, founded a hospice for travellers in atonement. The artist formerly known as the Master of Santo Spirito has been plausibly identified as Agnolo di Domenico.	Agnolo di Domenico di Donnino 1466 - c.1513	religion, people, adult, painting, wear, art, man, two, veil, Renaissance, facial hair, saint, woman, portrait, group, god, gown, book, cross, three	77.9	64	170.0	138.0	102.0	31.0	0.4	0.67	-6.384866802467562	-15.784784311079017
WA1850.15	WA1850.15.jpg	Domenico Ghirlandaio (1449 - 1494)	Portrait of a young Man	tempera on panel	43 x 32.3 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.15	Lloyd 1977, pp. 73-4	Initially trained as a goldsmith, Ghirlandaio was one of the leading artists of late 15th-century Florence, counting the young Michelangelo amongst his pupils. A83 is an early work, datable to <i>c.</i>1477-8; the portrait type was stimulated by developments in Flemish portraiture.	Ghirlandaio, Domenico 1449 - 1494	people, adult, one, wear, portrait, veil, painting, man, facial expression, art, lid, woman, boy, religion, cap, outerwear, leader, print, child, music	43.0	32.3	162.0	144.0	120.0	34.0	0.26	0.64	0.9011893284514394	2.7669375599448376
WA1850.16	WA1850.16.jpg	Tuscan Artist (c.1480/1500?)	Portrait of a Boy	tempera (?) and oil on panel	36.5 x 25.3 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.16	Lloyd 1977, pp. 184-5	Traditionally attributed to Gentile Bellini, A94 and A95 were later attributed to an anonymous artist of the school of Verona. Recently the consensus is that these portraits or decorative profile heads are unlikely to be Veronese and instead derive from Tuscan painting of the late 15th century.	Anonymous, Tuscan Artist c.1480/1500?	people, woman, adult, one, painting, portrait, art, wear, girl, veil, color, religion, no person, tree, illustration, bonnet, lid, outdoors, fall, fashion	36.5	25.3	175.0	103.0	63.0	21.0	0.64	0.69	1.9409541824720786	-16.682751898453134
WA1850.17	WA1850.17.jpg	Tuscan Artist (c.1480/1500?)	Portrait of a Boy	tempera (?) and oil on panel	36 x 25.8 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.17	Lloyd 1977, pp. 184-5	Traditionally attributed to Gentile Bellini, A94 and A95 were later attributed to an anonymous artist of the school of Verona. Recently the consensus is that these portraits or decorative profile heads are unlikely to be Veronese and instead derive from Tuscan painting of the late 15th century.	Anonymous, Tuscan Artist c.1480/1500?	people, one, adult, painting, art, woman, veil, religion, no person, portrait, wear, elderly, man, sculpture, crown, ancient, illustration, old, royalty, tree	36.0	25.8	176.0	132.0	91.0	28.0	0.48	0.69	1.4862106196555638	-1.6977519974661919
WA1850.18	WA1850.18.jpg	Bartolommeo degli Erri (active 1430 - 1479 (active 1442 - 1497)	St Vincent Ferrer preaching before a Pope	tempera and gilding on panel	62 x 61.5 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.18	Lloyd 1977 pp. 18-21; Benati 1988, pp. 135, 139, 168	Originally part of a large altar-piece, A93 is one of thirteen panels illustrating scenes from the life of St Vincent Ferrer (<i>c.</i>1350-1419) who was canonised in 1455. The altar-piece was made for the church of S. Domenico in Modena: Bartolomeo worked on this and on other commissions there from 1450 in collaboration with his brother Agnolo. The pope may be Benedict XIII, the Avignonese pope of the Great Schism (when there were three claimants to the papal throne) before whom St Vincent preached in his attempts to resolve the Schism.	Erri, Bartolommeo degli active 1430 - 1479 (active 1442 - 1497	religion, church, travel, architecture, tourism, people, daylight, group, tourist, building, indoors, religious, seat, many, city, no person, furniture, art, tower, cathedral	62.0	61.5	160.0	145.0	127.0	32.0	0.21	0.63	5.537970478090531	3.187139257220451
WA1850.19	WA1850.19.jpg	Andrea di Bartolo Cini (c.1358/64 - 1428)	St Lucy	tempera and gilding on panel	63.5 x 20.5 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.19	Lloyd 1977, pp. 2-3	A75 was part of a large altar-piece, now dismembered, of which five other similarly shaped panels of individual saints are known. St Lucy, an early Christian martyr, holds her attributes of a dagger, with which she was executed and an oil-lamp, referring to her name, Lucia (light). A leading painter in Siena, Andrea also worked on manuscript illumination and stained-glass designs and was prominent in public life. He developed a refined, conservative style which changed little during his career, making his work difficult to date.	Andrea di Bartolo Cini c.1358/64 - 1428	religion, art, god, painting, spirituality, sacred, worship, saint, church, sculpture, holy, religious, temple, prayer, woman, aura, Buddha, statue, one, religious	63.5	20.5	149.0	110.0	58.0	34.0	0.61	0.58	-1.8440804908709698	-0.5116622139416186
WA1850.1	WA1850.1.jpg	attributed to Arcangelo di Jacopo del Sellaio (1478 - 1531)	St John the Baptist	tempera on panel	156 x 66 cm	Inscribed: <em>ECCE (AG)NUS(DEI)</em>		Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.1	Lloyd 1977, pp. 37-8	The text held by the saint comes from Matthew 3: 10 where St John identified Christ as the Saviour with the words 'behold the lamb of God'. There is a very abraded coat of arms lower left. A85 has recently been plausibly attributed to the Master of the Miller Tondo, now identified as Arcangelo di Jacopo del Sellaio. Having inherited the studio of his father, Jacopo, he continued to work in his manner, which was based on that of Botticelli and Lippi.	Arcangelo di Jacopo del Sellaio, attributed to 1478 - 1531	religion, art, people, painting, one, wear, veil, adult, spirituality, man, god, print, woman, Renaissance, worship, sculpture, sacred, traditional, gown, saint	156.0	66	154.0	148.0	105.0	52.0	0.32	0.6	-2.7971490747225203	4.755139812899551
WA1850.20	WA1850.20.jpg	Nicola di Maestro Antonio d'Ancona (active 1472 - 1510)	St Mary Magdalen	tempera and gilding on panel	67.5 x 41 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.20	Lloyd 1977, pp. 134-5; Hedberg 1975	A96 and A97 are fragments of a large altar-piece of which two other similarly-shaped panels survive. The artist's name and style are known from a signed and dated work of 1472, which displays affinities with the art of Carlo Crivelli who worked extensively in the Marches. The Magdalen is recognisable by her long flowing hair, a reference to her traditional identification with the woman who anointed Christ's feet and dried them with her hair (Luke 7: 36-50).	Nicola di Maestro Antonio d'Ancona active 1472 - 1510	art, one, no person, people, religion, sculpture, painting, veil, antique, symbol, adult, woman, god, saint, ancient, portrait, Renaissance, gown, gold, baroque	67.5	41	161.0	134.0	71.0	41.0	0.56	0.63	6.148797163336263	-11.721865302937854
WA1850.21	WA1850.21.jpg	Nicola di Maestro Antonio d'Ancona (active 1472 - 1510)	St James of the Marches	tempera and gilding on panel	68 x 42 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.21	Lloyd 1977, pp. 134-5; Hedberg 1975	A96 and A97 are fragments of a large altar-piece of which two other similarly-shaped panels survive. The artist's name and style are known from a signed and dated work of 1472, which displays affinities with the art of Carlo Crivelli who worked extensively in the Marches. The ascetic Franciscan saint, sometimes called St Francis, is likely to be the miracle-working James of the Marches (1391-1476) who is depicted with a wound in his side, a reference to his casting out of devils. Many devotional images were commissioned after his death.	Nicola di Maestro Antonio d'Ancona active 1472 - 1510	art, sculpture, one, religion, people, no person, veil, saint, adult, metalwork, painting, god, cross, man, ancient, facial hair, antique, symbol, Renaissance, church	68.0	42	155.0	138.0	69.0	48.0	0.55	0.61	6.139888220491695	-11.727712561051964
WA1850.22	WA1850.22.jpg	Sano di Pietro (1405/6 - 1481)	The Virgin and Child with St Jerome, St Catherine of Alexandria and two Angels	tempera and gilding on panel	49.7 x 35.4 cm	Inscribed: <em>AVE GRATIA PLENA</em>on the Virgin's halo		Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.22	Lloyd 1977, pp. 158-9	Sano di Pietro was a refined craftsman who produced a large number of devotional works for private homes and for monastic cells. A76 is a characteristic type of composition from his later career, around 1470. The star on the Virgin's robe refers to her evocation as Stella Maris (Star of the Sea) in litanies. St Jerome (<i>c.</i>342-420) is identifiable by his penitential stance; St Catherine wears a crown and holds a wheel, referring to her attempted martyrdom.	Sano di Pietro 1405/6 - 1481	art, religion, people, painting, portrait, two, woman, wear, costume, adult, veil, decoration, dress, man, group, traditional, three, one, god, retro	49.7	35.4	160.0	149.0	110.0	46.0	0.31	0.63	1.1895690746900143	-0.37886616305499166
WA1850.25	WA1850.25.jpg	follower of Fra Angelico (c.1395/1400 - 1455)	The Annunciation	tempera and gilding on panel	23.2 x 19.6 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.25	Lloyd 1977, pp. 6-8	The Angel Gabriel announces to the Virgin that she will bear the son of God (Luke 1: 26-8); the walled garden and closed gate are symbols of Mary's purity. The inspiration for this composition was Fra Angelico's small <i>Annunciation</i>of <i>c.</i>1450-52 (Museo di San Marco, Florence), one of a series of scenes decorating the doors of the silver reliquary chest in SS Annunziata. A78 has clear affinities with the work of Zanobi Strozzi (1412-1468).	Angelico, Fra , follower of c.1395/1400 - 1455	religion, church, art, painting, no person, saint, religious, architecture, cathedral, god, cross, spirituality, travel, monastery, people, Mary, chapel, traditional, veil, landmark	23.2	19.6	196.0	180.0	178.0	6.0	0.09	0.77	19.096734403144524	1.4057827310797026
WA1850.26	WA1850.26.jpg	Bicci di Lorenzo (active late 1380s - 1452)	St Nicholas of Bari banishing the Storm	tempera and gilding on panel	29 x 59 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.26	Lloyd 1977, pp. 31-4; Thomas 1995, pp. 223-6	This panel comes from the predella of a large altar-piece of 1433-35 for S. Niccol&ograve; in Cafaggio, Florence, whose parts are now scattered in various collections. The <i>Virgin and Child with Four Angels</i>in the centre was flanked by pairs of saints (<i>Sts Benedict and Nicholas of Bari</i>and <i>St John the Baptist and an Evangelist</i>, probably St Matthew). The predella showed scenes from the life of St Nicholas, of which five are known: the birth of the saint; pilgrims at the shrine of the saint; St Nicholas resuscitating three youths; the saint providing dowries for three sisters (three gold balls, his traditional attribute); and banishing the storm. The panels probably originally had quatrefoil frames. Bicci based the design of A89 on Gentile da Fabriano's Quaratesi altar-piece of 1425 for S. Niccol&ograve; oltr'Arno.	Bicci di Lorenzo active late 1380s - 1452	illustration, watercraft, art, painting, people, water, no person, ship, old, fish, vintage, travel, retro, transportation system, sea, vehicle, boat, one, antique, symbol	29.0	59	167.0	175.0	136.0	72.0	0.22	0.69	-5.051987514793095	-3.1523669522252615
WA1850.27	WA1850.27.jpg	Apollonio di Giovanni (c.1416 - 1465 (?1403 - after 1480))	The Assassination and Funeral of Julius Caesar	tempera (?) and gilding on panel.	38.5 x 134.5 cm	Inscribed: <em>APPOLLO, CESARE, CHASCHA, BRUTO</em>		Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.27	Lloyd 1977, pp. 8-10; Lloyd 1993, p. 14	Made for the front of a <i>cassone</i>, this would have been commissioned on the occasion of a marriage <i>c.</i>1455-60. Following Plutarch's <i>Lives</i>(lxii-lxviii), Caesar is seen on the left sacrificing to Apollo; he is then shown on his way to the Forum and, in front of the Pantheon, being handed the message of warning. To the right, his murder in the Senate is depicted and his body is burnt on a pyre in front of Trajan's column; above the wall his spirit watches.	Apollonio di Giovanni c.1416 - 1465 (?1403 - after 1480)	illustration, art, painting, people, print, adult, group, religion, indoors, woman, lithograph, man, Renaissance, wear, fresco, architecture, veil, ancient, decoration, vintage	38.5	134.5	148.0	141.0	82.0	53.0	0.45	0.58	3.3874396187122966	6.448148477000528
WA1850.28	WA1850.28.jpg	Biagio di Antonio Tucci (1446 - 1516)	The Flight of the Vestal Virgins	tempera and gilding on panel	67.3 x 174 cm			Presented by Hon. W.T.H. Fox-Strangways, 1850	WA1850.28	Lloyd 1977, pp. 175-8; Bartoli 1999, pp. 153-4 and no. 14	Livy's history of Rome (<i>Ab urbe condita</i>V, 40-42) was the source for these scenes of the Gauls attacking Rome (390BC), with the escape of the Vestal Virgins in the carriage of the Roman citizen Lucius Albinus in the foreground; on the right they approach the safety of the Temple of Caere. Dating from the early 1480s, probably when Biagio was working in Rome, this <i>spalliera</i>panel was intended to be seen at eye-level, perhaps inserted into the panelling of a room.	Biagio di Antonio Tucci 1446 - 1516	people, group, many, art, man, religion, wear, adult, market, crowd, ceremony, woman, print, cavalry, city, travel, basket, military, festival, veil	67.3	174	165.0	155.0	130.0	42.0	0.21	0.65	5.214759628799532	6.391171858413112
WA1850.29	WA1850.29.jpg	attributed to Giovanni di Ser Giovanni, called Lo Scheggia (1407 - 1486)	A Tournament	tempera and gilding on panel	44 x 164 cm			Presented by Hon. W.T.H. Fox-Strangways, 1850	WA1850.29	Lloyd 1977, pp. 63-4; Bellosi and Haines 1999, pp. 86, 90	The brother of Masaccio, Lo Scheggia was an eclectic artist who painted numerous works for domestic settings. This type of decorative, ceremonial subject is often found on <i>cassone</i>panels. Although the picture is much abraded, it has sufficient affinities with the mature work of Lo Scheggia to make the attribution convincing.	Lo Scheggia, Giovanni di Ser Giovanni, called , attributed to 1407 - 1486	illustration, art, war, combat, people, painting, military, group, army, old, weapon, lithograph, battle, soldier, print, vintage, man, adult, antique, ancient	44.0	164	142.0	127.0	77.0	46.0	0.46	0.56	-0.01593976078266829	-17.69611637060764
WA1850.2	WA1850.2.jpg	attributed to Gerolamo del Pacchia (1477 - after 1533)	The Holy Family with the young St John the Baptist	oil on panel	102 cm in diameter			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.2	Lloyd 1977, p. 143; Olson 2000, p. 280	The background is enlivened with narrative scenes referring to the Nativity: the Annunciation to the Shepherds and an entourage of horsemen, presumably the arrival of the three Magi. Painted by a Sienese artist close to Sodoma <i>c.</i>1510, A88 has generally been attributed to del Pacchia. An attribution to Vincenzo Tamagni, after Sodoma, <i>c.</i>1507-8, has also been suggested.	Pacchia, Gerolamo del , attributed to 1477 - after 1533	people, art, adult, man, illustration, one, religion, saint, baby, portrait, god, woman, book, cross, two, group, symbol, painting, aura, child			0.0	0.0	0.0	0.0	0.0	0.0	-15.688676559748393	3.571214483218974
WA1850.30	WA1850.30.jpg	Apollonio di Giovanni (c.1416 - 1465 (?1403 - after 1480))	The Rape of the Sabine Women	tempera (?) and gilding on panel, trimmed on all sides and cut down on the left	38.2 x 60.3 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.30	Lloyd 1977, pp. 10-11; Filippini 1992, pp. 233, 236	Probably a fragment from the right-hand side of a <i>cassone</i>front, this panel may represent Romulus, king of Rome about to order the abduction of the Sabine women while they are attending the games in honour of Neptune. This act and its consequences as narrated by Livy (<i>Ab Urbe condita</i>I, 9-13) was seen by Renaissance commentators as leading to the institution of marriage in ancient Rome, thus the scene was appropriate for wedding celebrations.	Apollonio di Giovanni c.1416 - 1465 (?1403 - after 1480)	painting, art, illustration, people, religion, print, veil, fresco, saint, wear, wall, mural, adult, group, manuscript, Renaissance, ancient, woman, museum, god	38.2	60.3	151.0	121.0	79.0	35.0	0.48	0.59	-2.1202761342977605	-17.679783571228494
WA1850.31	WA1850.31.jpg	Uccello (Paolo Di Dono) (1397 - 1475)	The Hunt in the Forest	tempera and oil, with traces of gold, on panel	73.3 x 177 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.31	Lloyd 1977, pp. 172-5; Kemp and Massing 1991; Whistler 2001	Celebrated in his lifetime as a painter of perspective and of animals and landscape, Uccello was a versatile artist who worked at times on mosaic and stained glass design. A79 is a late work, probably of <i>c.</i>1470. It is a highly original painting, both as a nocturnal landscape and as a brilliantly structured composition. Uccello mapped out a grid on the panel's surface as a guide for his design, fixing a central vanishing point. The devices of the huntsmen's spears, the cut branches and logs and the area of water denote this coherent space, inhabited by the receding forms of men and animals. Uccello's approach is also highly decorative, with bright, clear colours set off against a dark background: the foliage of the trees was once picked out with gold, accentuating the precious, mosaic-like effect. Hunting was an aristocratic pastime with its own rituals (and the crescent moon, symbol of Diana, the chaste goddess of the hunt, appears in the horses' trappings) and the idea here of a hunt by night is playful or symbolic rather than realistic. A79 is a <i>spalliera</i>panel painted for a luxurious domestic setting, perhaps in Urbino or in Florence.	Uccello (Paolo Di Dono) 1397 - 1475	people, group, tree, adult, man, many, woman, outdoors, recreation, park, group, leisure, child, flower, mammal, travel, garden, landscape, grass, two	73.3	177	173.0	145.0	91.0	39.0	0.47	0.68	7.131248538450919	-18.80586843401523
WA1850.32	WA1850.32.jpg	Agnolo Bronzino (1503 - 1572)	Giovanni de' Medici	oil on panel	66.2 x 52.8 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.32	Lloyd 1977, pp. 39-43; McCorquodale 1981, pp. 131, 134	Giovanni de'Medici (1543-1562), the second son of Cosimo I and Eleanora of Toledo, was intended for a career in the Church: he was created deacon in 1550, Cardinal in 1560 and Archbishop of Pisa in 1561. A105 was painted <i>c.</i>1550-51, when Bronzino, as court artist to Cosimo I, was working on a group of Medici family portraits. Although not original to this painting, the Florentine frame of <i>c.</i>1580 is typical of Mannerist taste for the elaborate and the witty.	Bronzino, Agnolo 1503 - 1572	one, people, portrait, wear, music, adult, outerwear, musician, jewelry, sweater, man, knitwear, child, fashion, facial expression, retro, indoors, jacket, neckwear, singer	66.2	52.8	169.0	131.0	98.0	27.0	0.42	0.66	-11.766346295020204	-2.163113932431722
WA1850.33	WA1850.33.jpg	copy after Andrea del Sarto (1486 - 1530)	The Last Supper	oil on panel	74 x 179 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.33	Lloyd 1977, pp. 159-60	A102 is a free copy of the fresco in the refectory of the Vallombrosan monastery of San Salvi, Florence, painted by Sarto probably <i>c.</i>1526-7: a notable variation is with the background, where an expanse of open sky replaces the indoor setting, while there are other differences in detail. Traditionally but erroneously referred to as a preparatory sketch for the fresco, A102 is probably by an artist of the late 16th century when there was a revival of interest in Florence in the art of Sarto.	Sarto, Andrea del , copy after 1486 - 1530	people, group, religion, adult, painting, child, wear, boy, reclining, woman, art, many, baby, man, furniture, seat, boy, three, gown, position	74.0	179	138.0	122.0	77.0	44.0	0.44	0.54	1.9968122754953586	-20.69641917639623
WA1850.34	WA1850.34.jpg	Marco Zoppo (1433 - 1478)	St Paul	tempera and gilding on panel	49.5 x 31 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.34	Lloyd 1977, pp. 191-3; Lucco 1993, pp. 109-14 & p. 173	After his training with Squarcione in Padua from 1453, Marco worked mainly for Venetian and Bolognese patrons. This shaped panel comes from the upper tier of a polyptych, probably that made in 1468 for the church of Santa Giustina, Venice. Three other panels have been identified, <i>St Augustine</i>, <i>St Peter</i>and <i>St Jerome</i>, all from the upper register and all lit from the right. St Paul is shown with a sword, the instrument of his martyrdom and a book, a reference to his Epistles.	Zoppo, Marco 1433 - 1478	art, painting, people, adult, illustration, man, religion, woman, one, saint, portrait, print, wear, veil, aura, Renaissance, facial hair, god, antique, sword	49.5	31	174.0	145.0	77.0	42.0	0.56	0.68	6.923531902155949	8.551635671298754
WA1850.35	WA1850.35.jpg	Italian Artist (17th century)	Portrait of St Thomas Aquinas	oil on panel	27 x 20.1 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.35	Lloyd 1977, p. 200	Fox-Strangways may have acquired this painting as a work by or after Fra Bartolommeo, judging by an old label on the back. St Thomas Aquinas (<i>c.</i>1225-1274), Dominican philosopher and theologian, was declared a Doctor of the Church in 1567.	Anonymous, Italian Artist 17th century	people, one, adult, portrait, man, wear, side view, art, profile, religion, painting, lid, veil, leader, music, facial hair, bald, indoors, elderly, god	27.0	20.1	156.0	109.0	63.0	29.0	0.6	0.61	8.25394370534768	-28.55215955753302
WA1850.36	WA1850.36.jpg	copy after Carlo Dolci (1616 - 1686)	Head of St Rosa	oil on canvas	38 x 28 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.36		Presumably this was a copy of Dolci's <i>St Rose of Lima</i>of 1668, in the Palazzo Pitti, Florence. Missing since 1917.	Dolci, Carlo , copy after 1616 - 1686	art, abstract, wallpaper, dark, background, light, design, pattern, no person, vector, square, luxury, monochrome, illustration, desktop, metallic, empty, texture, old, moon	38.0	28	0.0	0.0	0.0	0.0	0.0	0.0	10.782715092414046	13.789363223197416
WA1850.37	WA1850.37.jpg	Copy after Pietro (Vannucci) Perugino (c.1450 - 1523)	The Head of the Virgin	oil on canvas, rolled	31.7 x 24.1 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.37	Lloyd 1977, pp. 145-6	A108 is a free copy, or a pastiche, perhaps of the 18th century, based on Perugino's altar-piece of the <i>Madonna della Consolazione</i>of 1498, now in the Galleria Nazionale, Perugia.	Perugino, Pietro (Vannucci) , Copy after c.1450 - 1523	people, portrait, one, adult, leader, art, wear, man, old, profile, administration, woman, veil, engraving, antique, writer, side view, vintage, royalty, retro	31.7	24.1	172.0	172.0	172.0	0.0	0.0	0.67	1.7487822587646897	0.396863666449297
WA1850.38	WA1850.38.jpg	North Italian Artist (c.1600)	St Mary Magdalen	oil on panel	31.2 x 15 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.38		The Magdalen is recognisable by her jar of ointment, a reference to her traditional identification with the woman who anointed the feet of Christ and dried them with her hair (Luke 7: 36-50). Possibly cut from a larger composition, this small panel has been enlarged by being fitted into another and the figure extended. The artist may have worked in Parma in the early 17th century in the circle of Bartolomeo Schedoni.	Anonymous, North Italian Artist c.1600	people, one, portrait, art, adult, painting, wear, woman, religion, old, antique, ancient, man, vintage, side view, sculpture, illustration, veil, girl, face	31.2	15	142.0	120.0	67.0	42.0	0.53	0.56	3.352385749571475	-23.444141385260178
WA1850.39	WA1850.39.jpg	copy after Antonio Allegri, called Correggio (c.1489 - 1534)	Head, in a circular Frame		dimensions unknown			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.39		Recorded as missing by 1908.	Correggio, Antonio Allegri, called , copy after c.1489 - 1534	art, abstract, wallpaper, dark, background, light, design, pattern, no person, vector, square, luxury, monochrome, illustration, desktop, metallic, empty, texture, old, moon			0.0	0.0	0.0	0.0	0.0	0.0	10.775472835689278	13.787734499867375
WA1850.3	WA1850.3.jpg	copy after Fra Bartolomeo (1472 - 1517)	The Holy Family	oil on panel	86 cm in diameter		Capponi-Pasquali, Florence	Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.3	Lloyd 1977, pp. 22-3	An exact and good-quality copy, though smaller in size, of the roundel by Fra Bartolomeo of <i>c.</i>1495 now in the Borghese Gallery, Rome, A104 may have been painted in the mid-16th century.	Bartolomeo, Fra , copy after 1472 - 1517	people, child, baby, woman, adult, boy, love, two, man, art, family, one, religion, portrait, togetherness, painting, girl, wear, offspring, group			211.0	204.0	193.0	36.0	0.09	0.83	-16.866646790921525	5.024904512040199
WA1850.40	WA1850.40.jpg	style of Johann Melchior Roos (Rosa da Tivoli) (1659 - 1731)	Landscape with Cattle	oil on canvas	91 x 124 cm			Presented by William Thomas Horner Fox-Strangways , later 4th Earl of Ilchester, 1850	WA1850.40		An early 18th-century painting, somewhat in the style of Roos.	Roos (Rosa da Tivoli), Johann Melchior , style of 1659 - 1731	no person, water, mammal, painting, two, one, river, daylight, art, outdoors, wildlife, side view, recreation, travel, people, fish, landscape, invertebrate, reproduction, nature	91.0	124	148.0	135.0	89.0	46.0	0.4	0.58	2.0371841827056887	-23.49594074953618
WA1850.41	WA1850.41.jpg	Charles Edward Strong (exhibited 1851 - 1856)	Sea-piece: off Calshot Castle	oil on canvas, rolled	70 x 90 cm			Presented by Revd Charles Strong, the artist's father, 1787	WA1850.41		This obscure artist is recorded as an exhibitor at the Royal Academy between 1851 and 1856, but is otherwise unknown and probably died young. Calshot Castle dominates the entrance to Southampton Water and was constructed in 1530 as part of Henry VIII's defence of England.	Strong, Charles Edward exhibited 1851 - 1856	watercraft, vehicle, ship, transportation system, people, sailboat, warship, sail, water, navy, print, boatman, shipwreck, military, ocean, sea, wind, rowboat, no person, captain	70.0	90	0.0	0.0	0.0	0.0	0.0	0.0	13.060049258454253	-1.665938968053033
